Entity,Code,Year,"Employment to population ratio, 15+, female (%) (national estimate)"
Bolivia,BOL,1995,52.33
Bolivia,BOL,1996,75.21
Bolivia,BOL,1997,32.93
Bolivia,BOL,1999,58.29
Bolivia,BOL,2000,60.11
Bolivia,BOL,2001,61.7
Bolivia,BOL,2002,57.6
Bolivia,BOL,2003,60.7
Bolivia,BOL,2004,60.7
Bolivia,BOL,2005,56.9
Bolivia,BOL,2006,60.29
Bolivia,BOL,2007,40.96
Bolivia,BOL,2008,60.33
Bolivia,BOL,2009,60.61
Bolivia,BOL,2011,60.45
Bolivia,BOL,2012,56.47
Bolivia,BOL,2013,57.38
Bolivia,BOL,2014,59.68
Bolivia,BOL,2015,52.78
Bolivia,BOL,2016,54.82
Bolivia,BOL,2017,56.94
Bolivia,BOL,2018,61.49
Bolivia,BOL,2019,63.76
Bolivia,BOL,2020,53.8
Bolivia,BOL,2021,67.19
Bosnia and Herzegovina,BIH,2001,23.55
Bosnia and Herzegovina,BIH,2006,19.95
Bosnia and Herzegovina,BIH,2007,20.64
Bosnia and Herzegovina,BIH,2008,23.01
Bosnia and Herzegovina,BIH,2009,23.63
Bosnia and Herzegovina,BIH,2010,23.13
Bosnia and Herzegovina,BIH,2011,22.87
Bosnia and Herzegovina,BIH,2012,22.51
Bosnia and Herzegovina,BIH,2013,22.94
Bosnia and Herzegovina,BIH,2014,22.67
Bosnia and Herzegovina,BIH,2015,23.16
Bosnia and Herzegovina,BIH,2016,22.42
Bosnia and Herzegovina,BIH,2017,24.81
Bosnia and Herzegovina,BIH,2018,24.99
Bosnia and Herzegovina,BIH,2019,26.63
Bosnia and Herzegovina,BIH,2020,29.9
Bosnia and Herzegovina,BIH,2021,33.28
Botswana,BWA,1985,45.15
Botswana,BWA,1991,34.8
Botswana,BWA,1994,39
Botswana,BWA,1996,34.76
Botswana,BWA,1998,36.65
Botswana,BWA,2000,40.32
Botswana,BWA,2006,42.19
Botswana,BWA,2009,44.83
Botswana,BWA,2010,41.54
Botswana,BWA,2013,49.11
Botswana,BWA,2019,45.96
Botswana,BWA,2020,47.17
Brazil,BRA,1973,37.64
Brazil,BRA,1976,33.38
Brazil,BRA,1985,41.93
Brazil,BRA,1986,42.01
Brazil,BRA,1987,43.29
Brazil,BRA,1988,43.4
Brazil,BRA,1989,44.09
Brazil,BRA,1990,44.25
Brazil,BRA,1992,50.76
Brazil,BRA,1993,51
Brazil,BRA,1995,45.7
Brazil,BRA,1996,43.79
Brazil,BRA,1997,44.02
Brazil,BRA,1998,43.87
Brazil,BRA,1999,44.47
Brazil,BRA,2001,46.95
Brazil,BRA,2002,48.3
Brazil,BRA,2003,48.07
Brazil,BRA,2004,49.4
Brazil,BRA,2005,50.04
Brazil,BRA,2006,50.49
Brazil,BRA,2007,50.44
Brazil,BRA,2008,50.82
Brazil,BRA,2009,50.45
Brazil,BRA,2011,49.03
Brazil,BRA,2012,47.63
Brazil,BRA,2013,47.75
Brazil,BRA,2014,48.03
Brazil,BRA,2015,47.57
Brazil,BRA,2016,46.04
Brazil,BRA,2017,46.11
Brazil,BRA,2018,46.59
Brazil,BRA,2019,47.29
Brazil,BRA,2020,42.1
Brazil,BRA,2021,43.78
British Virgin Islands,VGB,1991,66.52
Brunei,BRN,1981,28.67
Brunei,BRN,1991,43.35
Brunei,BRN,2001,52.43
Brunei,BRN,2014,54.07
Brunei,BRN,2017,50.87
Brunei,BRN,2018,51.54
Brunei,BRN,2019,50.33
Brunei,BRN,2020,50.24
Brunei,BRN,2021,51.36
Bulgaria,BGR,2000,37.59
Bulgaria,BGR,2001,37.68
Bulgaria,BGR,2002,38.05
Bulgaria,BGR,2003,38.87
Bulgaria,BGR,2004,40.16
Bulgaria,BGR,2005,40.03
Bulgaria,BGR,2006,42.04
Bulgaria,BGR,2007,44.01
Bulgaria,BGR,2008,45.54
Bulgaria,BGR,2009,44.37
Bulgaria,BGR,2010,43.18
Bulgaria,BGR,2011,42.43
Bulgaria,BGR,2012,42.64
Bulgaria,BGR,2013,42.81
Bulgaria,BGR,2014,43.56
Bulgaria,BGR,2015,44.47
Bulgaria,BGR,2016,44.34
Bulgaria,BGR,2017,46.57
Bulgaria,BGR,2018,46.93
Bulgaria,BGR,2019,48.34
Bulgaria,BGR,2020,46.85
Bulgaria,BGR,2021,46.59
Burkina Faso,BFA,1985,72.8
Burkina Faso,BFA,1994,72
Burkina Faso,BFA,2006,60.09
Burkina Faso,BFA,2014,52.84
Burkina Faso,BFA,2018,36.19
Burundi,BDI,1998,85.8
Burundi,BDI,2006,74.71
Burundi,BDI,2014,78.9
Burundi,BDI,2017,78.92
Burundi,BDI,2020,77.49
Cambodia,KHM,1998,69.2
Cambodia,KHM,2000,74.13
Cambodia,KHM,2001,79.98
Cambodia,KHM,2004,77.63
Cambodia,KHM,2007,73.83
Cambodia,KHM,2008,71.42
Cambodia,KHM,2009,76.95
Cambodia,KHM,2010,80.63
Cambodia,KHM,2011,81.45
Cambodia,KHM,2012,60.73
Cambodia,KHM,2013,74.07
Cambodia,KHM,2014,73.83
Cambodia,KHM,2015,73.09
Cambodia,KHM,2016,75.27
Cambodia,KHM,2017,76.28
Cambodia,KHM,2019,69.58
Cameroon,CMR,1985,51.86
Cameroon,CMR,1996,57.54
Cameroon,CMR,2001,56.6
Cameroon,CMR,2007,75.47
Cameroon,CMR,2010,67.21
Cameroon,CMR,2014,64.49
Canada,CAN,1976,41.95
Canada,CAN,1977,42.27
Canada,CAN,1978,43.36
Canada,CAN,1979,45.09
Canada,CAN,1980,46.39
Canada,CAN,1981,47.72
Canada,CAN,1982,46.53
Canada,CAN,1983,46.84
Canada,CAN,1984,47.69
Canada,CAN,1985,49.12
Canada,CAN,1986,50.28
Canada,CAN,1987,51.26
Canada,CAN,1988,52.72
Canada,CAN,1989,53.6
Canada,CAN,1990,53.77
Canada,CAN,1991,52.77
Canada,CAN,1992,51.94
Canada,CAN,1993,51.51
Canada,CAN,1994,51.88
Canada,CAN,1995,52.24
Canada,CAN,1996,52.13
Canada,CAN,1997,52.64
Canada,CAN,1998,53.72
Canada,CAN,1999,54.62
Canada,CAN,2000,55.42
Canada,CAN,2001,55.66
Canada,CAN,2002,56.57
Canada,CAN,2003,57.46
Canada,CAN,2004,57.74
Canada,CAN,2005,57.67
Canada,CAN,2006,58.11
Canada,CAN,2007,58.98
Canada,CAN,2008,59.02
Canada,CAN,2009,58.05
Canada,CAN,2010,57.9
Canada,CAN,2011,57.8
Canada,CAN,2012,57.89
Canada,CAN,2013,58.07
Canada,CAN,2014,57.62
Canada,CAN,2015,57.38
Canada,CAN,2016,57.46
Canada,CAN,2017,57.88
Canada,CAN,2018,57.94
Canada,CAN,2019,58.22
Canada,CAN,2020,53.93
Canada,CAN,2021,56.26
Cape Verde,CPV,2015,40.58
Cape Verde,CPV,2017,45.49
Cape Verde,CPV,2018,43.09
Cape Verde,CPV,2019,44.43
Cayman Islands,CYM,1991,70.85
Cayman Islands,CYM,1999,77.21
Cayman Islands,CYM,2006,77.15
Cayman Islands,CYM,2007,75.82
Cayman Islands,CYM,2008,77.45
Cayman Islands,CYM,2009,76.56
Cayman Islands,CYM,2011,73.31
Cayman Islands,CYM,2012,76.66
Cayman Islands,CYM,2013,75.89
Cayman Islands,CYM,2014,76.58
Cayman Islands,CYM,2015,76.77
Chad,TCD,1993,63.4
Chad,TCD,2018,48.9
Chile,CHL,1980,23.72
Chile,CHL,1981,24.2
Chile,CHL,1982,22.37
Chile,CHL,1983,24.19
Chile,CHL,1990,29.42
Chile,CHL,1992,31.69
Chile,CHL,1994,32.47
Chile,CHL,1996,32.98
Chile,CHL,1997,33.72
Chile,CHL,1998,34.12
Chile,CHL,1999,33.19
Chile,CHL,2000,33.09
Chile,CHL,2001,32.37
Chile,CHL,2002,32.17
Chile,CHL,2003,33.31
Chile,CHL,2004,34.26
Chile,CHL,2005,35.32
Chile,CHL,2006,36.51
Chile,CHL,2007,37.65
Chile,CHL,2008,39
Chile,CHL,2009,38.88
Chile,CHL,2010,41.02
Chile,CHL,2011,43.35
Chile,CHL,2012,43.92
Chile,CHL,2013,44.49
Chile,CHL,2014,45.13
Chile,CHL,2015,45
Chile,CHL,2016,44.71
Chile,CHL,2017,45.1
Chile,CHL,2018,45.37
Chile,CHL,2019,45.51
Chile,CHL,2020,40.45
Chile,CHL,2021,42.2
Colombia,COL,1980,12.58
Colombia,COL,1989,41.15
Colombia,COL,1990,39.84
Colombia,COL,1991,45.8
Colombia,COL,1992,46.12
Colombia,COL,1993,50.23
Colombia,COL,1994,48.82
Colombia,COL,1997,43.96
Colombia,COL,1998,44.55
Colombia,COL,1999,44.46
Colombia,COL,2000,43.12
Colombia,COL,2001,43.16
Colombia,COL,2002,43.01
Colombia,COL,2003,44.68
Colombia,COL,2004,43.53
Colombia,COL,2005,43.87
Colombia,COL,2007,42.71
Colombia,COL,2008,43.06
Colombia,COL,2009,45.49
Colombia,COL,2010,47.5
Colombia,COL,2011,48.83
Colombia,COL,2012,50.38
Colombia,COL,2013,50.83
Colombia,COL,2014,51.28
Colombia,COL,2015,51.87
Colombia,COL,2016,51.38
Colombia,COL,2017,51.08
Colombia,COL,2018,50.29
Colombia,COL,2019,48.86
Colombia,COL,2020,40.7
Colombia,COL,2021,42.39
Comoros,COM,2004,30.94
Comoros,COM,2014,29.59
Congo,COG,2005,52.82
Congo,COG,2009,39.14
Costa Rica,CRI,1990,31.05
Costa Rica,CRI,1991,31.2
Costa Rica,CRI,1992,31.1
Costa Rica,CRI,1993,31.99
Costa Rica,CRI,1994,32.79
Costa Rica,CRI,1995,33.37
Costa Rica,CRI,1996,31.31
Costa Rica,CRI,1997,34.42
Costa Rica,CRI,1998,36.56
Costa Rica,CRI,1999,37
Costa Rica,CRI,2000,35.79
Costa Rica,CRI,2001,39.07
Costa Rica,CRI,2002,38.73
Costa Rica,CRI,2003,39.1
Costa Rica,CRI,2004,37.4
Costa Rica,CRI,2005,40.31
Costa Rica,CRI,2006,40.64
Costa Rica,CRI,2007,42.39
Costa Rica,CRI,2008,43.37
Costa Rica,CRI,2009,41.77
Costa Rica,CRI,2010,40.38
Costa Rica,CRI,2011,40.68
Costa Rica,CRI,2012,45.62
Costa Rica,CRI,2013,46.02
Costa Rica,CRI,2014,45.71
Costa Rica,CRI,2015,44.64
Costa Rica,CRI,2016,41.11
Costa Rica,CRI,2017,41.2
Costa Rica,CRI,2018,42.87
Costa Rica,CRI,2019,45.09
Costa Rica,CRI,2020,38.12
Costa Rica,CRI,2021,39.95
Cote d'Ivoire,CIV,2012,57.94
Cote d'Ivoire,CIV,2013,66.02
Cote d'Ivoire,CIV,2016,56.93
Cote d'Ivoire,CIV,2017,44.38
Cote d'Ivoire,CIV,2019,54.54
Croatia,HRV,2000,36.37
Croatia,HRV,2001,34.88
Croatia,HRV,2002,36.38
Croatia,HRV,2003,36.12
Croatia,HRV,2004,36.98
Croatia,HRV,2005,36.72
Croatia,HRV,2006,37.38
Croatia,HRV,2007,40.02
Croatia,HRV,2008,41
Croatia,HRV,2009,41.7
Croatia,HRV,2010,40.46
Croatia,HRV,2011,38.49
Croatia,HRV,2012,37.42
Croatia,HRV,2013,37.12
Croatia,HRV,2014,37.95
Croatia,HRV,2015,38.96
Croatia,HRV,2016,39.16
Croatia,HRV,2017,40.15
Croatia,HRV,2018,41.26
Croatia,HRV,2019,41.95
Croatia,HRV,2020,41.3
Croatia,HRV,2021,42.12
Cuba,CUB,2004,37.1
Cuba,CUB,2006,38.41
Cuba,CUB,2007,40
Cuba,CUB,2008,40.37
Cuba,CUB,2009,41.5
Cuba,CUB,2010,40.7
Cuba,CUB,2011,40.13
Cuba,CUB,2012,55.3
Cuba,CUB,2013,55.3
Curacao,CUW,2018,44.14
Curacao,CUW,2020,43.04
Cyprus,CYP,1977,19.26
Cyprus,CYP,1978,20.36
Cyprus,CYP,1985,30.3
Cyprus,CYP,1987,31.63
Cyprus,CYP,1988,44.34
Cyprus,CYP,1989,45.5
Cyprus,CYP,1990,46.06
Cyprus,CYP,1991,45.11
Cyprus,CYP,1992,44.99
Cyprus,CYP,1995,45.57
Cyprus,CYP,1999,42.96
Cyprus,CYP,2000,45.53
Cyprus,CYP,2001,48.81
Cyprus,CYP,2002,50.25
Cyprus,CYP,2003,51.39
Cyprus,CYP,2004,50.03
Cyprus,CYP,2005,49.85
Cyprus,CYP,2006,51.43
Cyprus,CYP,2007,53.25
Cyprus,CYP,2008,53.48
Cyprus,CYP,2009,53.6
Cyprus,CYP,2010,54.13
Cyprus,CYP,2011,53.07
Cyprus,CYP,2012,50.65
Cyprus,CYP,2013,48.42
Cyprus,CYP,2014,49.75
Cyprus,CYP,2015,49.19
Cyprus,CYP,2016,48.88
Cyprus,CYP,2017,50.42
Cyprus,CYP,2018,52.36
Cyprus,CYP,2019,52.88
Cyprus,CYP,2020,52.28
Cyprus,CYP,2021,53.26
Czechia,CZE,1997,48.95
Czechia,CZE,1998,47.79
Czechia,CZE,1999,46.69
Czechia,CZE,2000,46.18
Czechia,CZE,2001,46.21
Czechia,CZE,2002,46.34
Czechia,CZE,2003,45.78
Czechia,CZE,2004,45.53
Czechia,CZE,2005,45.68
Czechia,CZE,2006,46.08
Czechia,CZE,2007,46.42
Czechia,CZE,2008,46.55
Czechia,CZE,2009,45.7
Czechia,CZE,2010,45.15
Czechia,CZE,2011,45.57
Czechia,CZE,2012,45.94
Czechia,CZE,2013,46.7
Czechia,CZE,2014,47.1
Czechia,CZE,2015,48.14
Czechia,CZE,2016,49.44
Czechia,CZE,2017,50.42
Czechia,CZE,2018,51.3
Czechia,CZE,2019,51.34
Czechia,CZE,2020,50.28
Czechia,CZE,2021,50.18
Democratic Republic of Congo,COD,2005,69.67
Democratic Republic of Congo,COD,2012,60.27
Democratic Republic of Congo,COD,2020,59.63
Denmark,DNK,1974,49.11
Denmark,DNK,1976,49.69
Denmark,DNK,1977,50.34
Denmark,DNK,1978,52
Denmark,DNK,1979,50.86
Denmark,DNK,1981,50.89
Denmark,DNK,1983,52.17
Denmark,DNK,1984,53.28
Denmark,DNK,1985,54
Denmark,DNK,1986,56.06
Denmark,DNK,1987,56.05
Denmark,DNK,1988,56.33
Denmark,DNK,1989,55.16
Denmark,DNK,1990,55.98
Denmark,DNK,1991,55.52
Denmark,DNK,1992,56.24
Denmark,DNK,1993,55
Denmark,DNK,1994,53.05
Denmark,DNK,1995,52.5
Denmark,DNK,1996,53.79
Denmark,DNK,1997,55.21
Denmark,DNK,1998,55.7
Denmark,DNK,1999,56.49
Denmark,DNK,2000,57.22
Denmark,DNK,2001,56.81
Denmark,DNK,2002,57.64
Denmark,DNK,2003,56.29
Denmark,DNK,2004,57.1
Denmark,DNK,2005,57.2
Denmark,DNK,2006,58.17
Denmark,DNK,2007,58.12
Denmark,DNK,2008,57.47
Denmark,DNK,2009,56.27
Denmark,DNK,2010,54.87
Denmark,DNK,2011,54.12
Denmark,DNK,2012,53.62
Denmark,DNK,2013,53.18
Denmark,DNK,2014,52.95
Denmark,DNK,2015,53.03
Denmark,DNK,2016,53.89
Denmark,DNK,2017,54.12
Denmark,DNK,2018,54.48
Denmark,DNK,2019,54.93
Denmark,DNK,2020,54.29
Denmark,DNK,2021,55.09
Djibouti,DJI,2017,11.67
Dominica,DMA,1989,37.93
Dominica,DMA,1991,23.08
Dominica,DMA,1997,43.78
Dominica,DMA,1999,43.92
Dominica,DMA,2001,40.8
Dominican Republic,DOM,1991,25.1
Dominican Republic,DOM,1992,27.8
Dominican Republic,DOM,1993,27
Dominican Republic,DOM,1994,27.2
Dominican Republic,DOM,1995,26.3
Dominican Republic,DOM,1996,30.79
Dominican Republic,DOM,1998,25.8
Dominican Republic,DOM,1999,27.5
Dominican Republic,DOM,2000,35.74
Dominican Republic,DOM,2001,34.24
Dominican Republic,DOM,2002,36.09
Dominican Republic,DOM,2003,35.34
Dominican Republic,DOM,2004,35.32
Dominican Republic,DOM,2005,35.92
Dominican Republic,DOM,2006,37.09
Dominican Republic,DOM,2007,37.31
Dominican Republic,DOM,2008,38.87
